Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Timothée Kolodziejczak,Centre-Back,25,Sevilla FC,LaLiga,Bor. M'gladbach,1.Bundesliga,2016-2017,7000000.0,7500000
Denis Cheryshev,Left Winger,25,Real Madrid,LaLiga,Villarreal CF,LaLiga,2016-2017,10000000.0,7000000
Gerónimo Rulli,Goalkeeper,24,Man City,Premier League,Real Sociedad,LaLiga,2016-2017,8000000.0,7000000
Leo Baptistão,Centre-Forward,23,Atlético Madrid,LaLiga,Espanyol,LaLiga,2016-2017,4000000.0,7000000
Patrick Bamford,Centre-Forward,23,Chelsea,Premier League,Middlesbrough,Premier League,2016-2017,5000000.0,6900000
Douglas Santos,Left-Back,22,Atlético-MG,Série A,Hamburger SV,1.Bundesliga,2016-2017,6000000.0,6500000
Jhon Córdoba,Centre-Forward,23,Granada CF,LaLiga,1.FSV Mainz 05,1.Bundesliga,2016-2017,3500000.0,6500000
Simone Verdi,Right Winger,24,AC Milan,Serie A,Bologna,Serie A,2016-2017,2000000.0,6500000
Loris Karius,Goalkeeper,23,1.FSV Mainz 05,1.Bundesliga,Liverpool,Premier League,2016-2017,7000000.0,6200000
Neymar,Left Winger,25,FC Barcelona,LaLiga,Paris SG,Ligue 1,2017-2018,100000000.0,222000000
Philippe Coutinho,Attacking Midfield,25,Liverpool,Premier League,FC Barcelona,LaLiga,2017-2018,90000000.0,125000000
Ousmane Dembélé,Right Winger,20,Bor. Dortmund,1.Bundesliga,FC Barcelona,LaLiga,2017-2018,33000000.0,115000000
Romelu Lukaku,Centre-Forward,24,Everton,Premier League,Man Utd,Premier League,2017-2018,50000000.0,84700000
Virgil van Dijk,Centre-Back,26,Southampton,Premier League,Liverpool,Premier League,2017-2018,30000000.0,78800000
Diego Costa,Centre-Forward,29,Chelsea,Premier League,Atlético Madrid,LaLiga,2017-2018,50000000.0,66000000
Álvaro Morata,Centre-Forward,24,Real Madrid,LaLiga,Chelsea,Premier League,2017-2018,40000000.0,66000000
Aymeric Laporte,Centre-Back,23,Athletic Bilbao,LaLiga,Man City,Premier League,2017-2018,25000000.0,65000000
Pierre-Emerick Aubameyang,Centre-Forward,28,Bor. Dortmund,1.Bundesliga,Arsenal,Premier League,2017-2018,65000000.0,63750000
Benjamin Mendy,Left-Back,23,Monaco,Ligue 1,Man City,Premier League,2017-2018,13000000.0,57500000
Alexandre Lacazette,Centre-Forward,26,Olympique Lyon,Ligue 1,Arsenal,Premier League,2017-2018,40000000.0,53000000
Kyle Walker,Right-Back,27,Spurs,Premier League,Man City,Premier League,2017-2018,30000000.0,52700000
Bernardo Silva,Right Winger,22,Monaco,Ligue 1,Man City,Premier League,2017-2018,40000000.0,50000000
Gylfi Sigurdsson,Attacking Midfield,27,Swansea,Premier League,Everton,Premier League,2017-2018,25000000.0,49400000
Nemanja Matic,Defensive Midfield,29,Chelsea,Premier League,Man Utd,Premier League,2017-2018,35000000.0,44700000
Leonardo Bonucci,Centre-Back,30,Juventus,Serie A,AC Milan,Serie A,2017-2018,45000000.0,42000000
Mohamed Salah,Right Winger,25,AS Roma,Serie A,Liverpool,Premier League,2017-2018,35000000.0,42000000
Corentin Tolisso,Central Midfield,22,Olympique Lyon,Ligue 1,Bayern Munich ,1.Bundesliga,2017-2018,22000000.0,41500000
Federico Bernardeschi,Right Winger,23,Fiorentina,Serie A,Juventus,Serie A,2017-2018,30000000.0,40000000
Tiemoué Bakayoko,Defensive Midfield,22,Monaco,Ligue 1,Chelsea,Premier League,2017-2018,16000000.0,40000000
Alex Oxlade-Chamberlain,Right Midfield,24,Arsenal,Premier League,Liverpool,Premier League,2017-2018,22000000.0,38000000
Danny Drinkwater,Central Midfield,27,Leicester,Premier League,Chelsea,Premier League,2017-2018,9000000.0,37900000
Vitolo,Left Winger,27,Sevilla FC,LaLiga,Atlético Madrid,LaLiga,2017-2018,25000000.0,36000000
Antonio Rüdiger,Centre-Back,24,AS Roma,Serie A,Chelsea,Premier League,2017-2018,25000000.0,35000000
Iñigo Martínez,Centre-Back,26,Real Sociedad,LaLiga,Athletic Bilbao,LaLiga,2017-2018,25000000.0,32000000
Keita Baldé,Left Winger,22,Lazio,Serie A,Monaco,Ligue 1,2017-2018,25000000.0,30000000
Danilo,Right-Back,26,Real Madrid,LaLiga,Man City,Premier League,2017-2018,16000000.0,30000000
Michael Keane,Centre-Back,24,Burnley,Premier League,Everton,Premier League,2017-2018,18000000.0,28500000
Lucas Moura,Right Winger,25,Paris SG,Ligue 1,Spurs,Premier League,2017-2018,28000000.0,28400000
Mamadou Sakho,Centre-Back,27,Liverpool,Premier League,Crystal Palace,Premier League,2017-2018,15000000.0,28200000
Kelechi Iheanacho,Centre-Forward,20,Man City,Premier League,Leicester,Premier League,2017-2018,15000000.0,27700000
Milan Skriniar,Centre-Back,22,Sampdoria,Serie A,Inter,Serie A,2017-2018,7000000.0,27000000
Serge Aurier,Right-Back,24,Paris SG,Ligue 1,Spurs,Premier League,2017-2018,15000000.0,25000000
Davide Zappacosta,Right-Back,25,Torino,Serie A,Chelsea,Premier League,2017-2018,8500000.0,25000000
Theo Hernández,Left-Back,19,Atlético Madrid,LaLiga,Real Madrid,LaLiga,2017-2018,15000000.0,24000000
Matías Vecino,Central Midfield,25,Fiorentina,Serie A,Inter,Serie A,2017-2018,13000000.0,24000000
Andrea Conti,Right-Back,23,Atalanta,Serie A,AC Milan,Serie A,2017-2018,10000000.0,24000000
André Ayew,Left Winger,28,West Ham,Premier League,Swansea,Premier League,2017-2018,18000000.0,22800000
Nathan Aké,Centre-Back,22,Chelsea,Premier League,Bournemouth,Premier League,2017-2018,8000000.0,22800000
Theo Walcott,Right Winger,28,Arsenal,Premier League,Everton,Premier League,2017-2018,20000000.0,22500000
Marko Arnautovic,Left Winger,28,Stoke City,Premier League,West Ham,Premier League,2017-2018,15000000.0,22300000
Hakan Calhanoglu,Left Winger,23,Bay. Leverkusen,1.Bundesliga,AC Milan,Serie A,2017-2018,20000000.0,22000000
Guido Carrillo,Centre-Forward,26,Monaco,Ligue 1,Southampton,Premier League,2017-2018,6000000.0,22000000
Luis Muriel,Centre-Forward,26,Sampdoria,Serie A,Sevilla FC,LaLiga,2017-2018,17000000.0,21500000
Kingsley Coman,Left Winger,21,Juventus,Serie A,Bayern Munich ,1.Bundesliga,2017-2018,20000000.0,21000000
Pietro Pellegri,Centre-Forward,16,Genoa,Serie A,Monaco,Ligue 1,2017-2018,8000000.0,21000000
Andre Gray,Centre-Forward,26,Burnley,Premier League,Watford,Premier League,2017-2018,10000000.0,20400000
Blaise Matuidi,Central Midfield,30,Paris SG,Ligue 1,Juventus,Serie A,2017-2018,30000000.0,20000000
Juan Cuadrado,Right Winger,29,Chelsea,Premier League,Juventus,Serie A,2017-2018,25000000.0,20000000
Niklas Süle,Centre-Back,21,TSG Hoffenheim,1.Bundesliga,Bayern Munich ,1.Bundesliga,2017-2018,25000000.0,20000000
Roberto Gagliardini,Central Midfield,23,Atalanta,Serie A,Inter,Serie A,2017-2018,20000000.0,20000000
Kevin Kampl,Central Midfield,26,Bay. Leverkusen,1.Bundesliga,RB Leipzig,1.Bundesliga,2017-2018,15000000.0,20000000
Maximilian Philipp,Left Winger,23,SC Freiburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2017-2018,15000000.0,20000000
Emerson,Left-Back,23,AS Roma,Serie A,Chelsea,Premier League,2017-2018,14000000.0,20000000
Nikola Maksimovic,Centre-Back,25,Torino,Serie A,SSC Napoli,Serie A,2017-2018,10000000.0,20000000
Dalbert,Left-Back,23,OGC Nice,Ligue 1,Inter,Serie A,2017-2018,5000000.0,20000000
Kevin Wimmer,Centre-Back,24,Spurs,Premier League,Stoke City,Premier League,2017-2018,7000000.0,19400000
Nabil Bentaleb,Defensive Midfield,22,Spurs,Premier League,FC Schalke 04,1.Bundesliga,2017-2018,18000000.0,19000000
Mateo Musacchio,Centre-Back,26,Villarreal CF,LaLiga,AC Milan,Serie A,2017-2018,18000000.0,18000000
Chicharito,Centre-Forward,29,Bay. Leverkusen,1.Bundesliga,West Ham,Premier League,2017-2018,18000000.0,17800000
Lucas Biglia,Defensive Midfield,31,Lazio,Serie A,AC Milan,Serie A,2017-2018,20000000.0,17000000
Olivier Giroud,Centre-Forward,31,Arsenal,Premier League,Chelsea,Premier League,2017-2018,20000000.0,17000000
Medhi Benatia,Centre-Back,30,Bayern Munich ,1.Bundesliga,Juventus,Serie A,2017-2018,15000000.0,17000000
Matthias Ginter,Centre-Back,23,Bor. Dortmund,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2017-2018,15000000.0,17000000
John Anthony Brooks,Centre-Back,24,Hertha BSC,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2017-2018,14000000.0,17000000
Mario Lemina,Defensive Midfield,23,Juventus,Serie A,Southampton,Premier League,2017-2018,7500000.0,17000000
Jhon Córdoba,Centre-Forward,24,1.FSV Mainz 05,1.Bundesliga,1. FC Köln,1.Bundesliga,2017-2018,7000000.0,17000000
Ismaïla Sarr,Left Winger,19,FC Metz,Ligue 1,Stade Rennais,Ligue 1,2017-2018,2500000.0,17000000
Ross Barkley,Attacking Midfield,24,Everton,Premier League,Chelsea,Premier League,2017-2018,25000000.0,16900000
Dani Ceballos,Central Midfield,20,Real Betis,LaLiga,Real Madrid,LaLiga,2017-2018,10000000.0,16500000
Wesley Hoedt,Centre-Back,23,Lazio,Serie A,Southampton,Premier League,2017-2018,7500000.0,16400000
Simone Zaza,Centre-Forward,26,Juventus,Serie A,Valencia CF,LaLiga,2017-2018,15000000.0,16000000
Yuri Berchiche,Left-Back,27,Real Sociedad,LaLiga,Paris SG,Ligue 1,2017-2018,10000000.0,16000000
Jean-Kévin Augustin,Centre-Forward,20,Paris SG,Ligue 1,RB Leipzig,1.Bundesliga,2017-2018,3000000.0,16000000
Oliver Burke,Right Winger,20,RB Leipzig,1.Bundesliga,West Brom,Premier League,2017-2018,7000000.0,15200000
Fernando Llorente,Centre-Forward,32,Swansea,Premier League,Spurs,Premier League,2017-2018,6000000.0,15100000
Ricardo Rodríguez,Left-Back,24,VfL Wolfsburg,1.Bundesliga,AC Milan,Serie A,2017-2018,17000000.0,15000000
Giovanni Simeone,Centre-Forward,22,Genoa,Serie A,Fiorentina,Serie A,2017-2018,10000000.0,15000000
Vicente Iborra,Defensive Midfield,29,Sevilla FC,LaLiga,Leicester,Premier League,2017-2018,9000000.0,15000000
Gianluca Caprari,Second Striker,23,Inter,Serie A,Sampdoria,Serie A,2017-2018,6000000.0,15000000
Francis Coquelin,Defensive Midfield,26,Arsenal,Premier League,Valencia CF,LaLiga,2017-2018,12000000.0,14000000
Enes Ünal,Centre-Forward,20,Man City,Premier League,Villarreal CF,LaLiga,2017-2018,10000000.0,14000000
Thiago Maia,Central Midfield,20,Santos FC,Série A,LOSC Lille,Ligue 1,2017-2018,3000000.0,14000000
Jay Rodríguez,Centre-Forward,27,Southampton,Premier League,West Brom,Premier League,2017-2018,10000000.0,13700000
Wilfried Bony,Centre-Forward,28,Man City,Premier League,Swansea,Premier League,2017-2018,18000000.0,13000000
Sandro Wagner,Centre-Forward,30,TSG Hoffenheim,1.Bundesliga,Bayern Munich ,1.Bundesliga,2017-2018,9000000.0,13000000
Steve Mounié,Centre-Forward,22,Montpellier,Ligue 1,Huddersfield,Premier League,2017-2018,5500000.0,13000000
Emre Mor,Left Winger,20,Bor. Dortmund,1.Bundesliga,Celta de Vigo,LaLiga,2017-2018,5000000.0,13000000
Roque Mesa,Central Midfield,28,UD Las Palmas,LaLiga,Swansea,Premier League,2017-2018,12000000.0,12500000
Bruno Peres,Right-Back,27,Torino,Serie A,AS Roma,Serie A,2017-2018,11000000.0,12500000
Yevhen Konoplyanka,Left Winger,27,Sevilla FC,LaLiga,FC Schalke 04,1.Bundesliga,2017-2018,10000000.0,12500000
Sven Bender,Centre-Back,28,Bor. Dortmund,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2017-2018,7000000.0,12500000
Richarlison,Left Winger,20,Fluminense,Série A,Watford,Premier League,2017-2018,2000000.0,12400000
Wojciech Szczesny,Goalkeeper,27,Arsenal,Premier League,Juventus,Serie A,2017-2018,17000000.0,12200000
Ömer Toprak,Centre-Back,27,Bay. Leverkusen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2017-2018,16000000.0,12000000
Mahmoud Dahoud,Central Midfield,21,Bor. M'gladbach,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2017-2018,15000000.0,12000000
Gerard Deulofeu,Right Winger,23,Everton,Premier League,FC Barcelona,LaLiga,2017-2018,12000000.0,12000000
Pablo Fornals,Attacking Midfield,21,Málaga CF,LaLiga,Villarreal CF,LaLiga,2017-2018,10000000.0,12000000
Mattia De Sciglio,Right-Back,24,AC Milan,Serie A,Juventus,Serie A,2017-2018,8500000.0,12000000
Douglas Luiz,Central Midfield,19,Vasco da Gama,Série A,Man City,Premier League,2017-2018,,12000000
Yerry Mina,Centre-Back,23,Palmeiras,Série A,FC Barcelona,LaLiga,2017-2018,9000000.0,11800000
Asmir Begovic,Goalkeeper,30,Chelsea,Premier League,Bournemouth,Premier League,2017-2018,8000000.0,11500000
Florian Thauvin,Right Winger,24,Newcastle,Premier League,Marseille,Ligue 1,2017-2018,18000000.0,11000000
Gabriel Paulista,Centre-Back,26,Arsenal,Premier League,Valencia CF,LaLiga,2017-2018,13000000.0,11000000
Martin Terrier,Left Winger,20,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,2017-2018,12000000.0,11000000
Guilherme Arana,Left-Back,20,Corinthians,Série A,Sevilla FC,LaLiga,2017-2018,10000000.0,11000000
Stevan Jovetic,Centre-Forward,27,Inter,Serie A,Monaco,Ligue 1,2017-2018,10000000.0,11000000
Marc Bartra,Centre-Back,27,Bor. Dortmund,1.Bundesliga,Real Betis,LaLiga,2017-2018,15000000.0,10500000
Luiz Araújo,Right Winger,21,São Paulo,Série A,LOSC Lille,Ligue 1,2017-2018,500000.0,10500000
Luiz Gustavo,Defensive Midfield,29,VfL Wolfsburg,1.Bundesliga,Marseille,Ligue 1,2017-2018,12000000.0,10000000
Lorenzo Pellegrini,Central Midfield,21,Sassuolo,Serie A,AS Roma,Serie A,2017-2018,12000000.0,10000000
Ignacio Camacho,Defensive Midfield,27,Málaga CF,LaLiga,VfL Wolfsburg,1.Bundesliga,2017-2018,10000000.0,10000000
Marco Benassi,Central Midfield,22,Torino,Serie A,Fiorentina,Serie A,2017-2018,9500000.0,10000000
Diafra Sakho,Centre-Forward,28,West Ham,Premier League,Stade Rennais,Ligue 1,2017-2018,8000000.0,10000000
Bertrand Traoré,Right Winger,21,Chelsea,Premier League,Olympique Lyon,Ligue 1,2017-2018,8000000.0,10000000
Florian Lejeune,Centre-Back,26,SD Eibar,LaLiga,Newcastle,Premier League,2017-2018,5000000.0,10000000
Roberto Inglese,Centre-Forward,25,Chievo Verona,Serie A,SSC Napoli,Serie A,2017-2018,4500000.0,10000000
Adam Ounas,Left Winger,20,G. Bordeaux,Ligue 1,SSC Napoli,Serie A,2017-2018,4000000.0,10000000
Loïs Diony,Centre-Forward,24,Dijon,Ligue 1,Saint-Étienne,Ligue 1,2017-2018,3000000.0,10000000
Nicolas Pépé,Right Winger,22,SCO Angers,Ligue 1,LOSC Lille,Ligue 1,2017-2018,3000000.0,10000000
Allan Saint-Maximin,Right Winger,20,Monaco,Ligue 1,OGC Nice,Ligue 1,2017-2018,3000000.0,10000000
Adama Diakhaby,Centre-Forward,21,Stade Rennais,Ligue 1,Monaco,Ligue 1,2017-2018,1500000.0,10000000
Pape Cheikh,Central Midfield,20,Celta de Vigo,LaLiga,Olympique Lyon,Ligue 1,2017-2018,800000.0,10000000
Tom Cleverley,Central Midfield,27,Everton,Premier League,Watford,Premier League,2017-2018,8000000.0,9300000
Aaron Mooy,Central Midfield,26,Man City,Premier League,Huddersfield,Premier League,2017-2018,5000000.0,9100000
Jack Cork,Defensive Midfield,28,Swansea,Premier League,Burnley,Premier League,2017-2018,5000000.0,9100000
Thiago Mendes,Defensive Midfield,25,São Paulo,Série A,LOSC Lille,Ligue 1,2017-2018,3500000.0,9000000
Kévin Malcuit,Right-Back,25,Saint-Étienne,Ligue 1,LOSC Lille,Ligue 1,2017-2018,3000000.0,9000000
Adnan Januzaj,Right Winger,22,Man Utd,Premier League,Real Sociedad,LaLiga,2017-2018,7000000.0,8500000
Serge Gnabry,Left Winger,21,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2017-2018,15000000.0,8000000
Valère Germain,Centre-Forward,27,Monaco,Ligue 1,Marseille,Ligue 1,2017-2018,10000000.0,8000000
Juan Jesus,Centre-Back,26,Inter,Serie A,AS Roma,Serie A,2017-2018,7500000.0,8000000
Davie Selke,Centre-Forward,22,RB Leipzig,1.Bundesliga,Hertha BSC,1.Bundesliga,2017-2018,6000000.0,8000000
Nicolas de Préville,Centre-Forward,26,LOSC Lille,Ligue 1,G. Bordeaux,Ligue 1,2017-2018,5500000.0,8000000
Havard Nordtveit,Centre-Back,27,West Ham,Premier League,TSG Hoffenheim,1.Bundesliga,2017-2018,5000000.0,8000000
Mariano Díaz,Centre-Forward,23,Real Madrid,LaLiga,Olympique Lyon,Ligue 1,2017-2018,5000000.0,8000000
Vitor Hugo,Centre-Back,26,Palmeiras,Série A,Fiorentina,Serie A,2017-2018,4500000.0,8000000
Admir Mehmedi,Second Striker,26,Bay. Leverkusen,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2017-2018,3500000.0,8000000
Amine Harit,Attacking Midfield,20,FC Nantes,Ligue 1,FC Schalke 04,1.Bundesliga,2017-2018,2000000.0,8000000
Alessandro Bastoni,Centre-Back,18,Atalanta,Serie A,Inter,Serie A,2017-2018,1500000.0,8000000
Filippo Romagna,Centre-Back,20,Juventus,Serie A,Cagliari Calcio,Serie A,2017-2018,1000000.0,7600000
Kieran Gibbs,Left-Back,27,Arsenal,Premier League,West Brom,Premier League,2017-2018,10000000.0,7500000
Christian Atsu,Left Winger,25,Chelsea,Premier League,Newcastle,Premier League,2017-2018,5000000.0,7500000
Éver Banega,Central Midfield,29,Inter,Serie A,Sevilla FC,LaLiga,2017-2018,16000000.0,7000000
Nolito,Left Winger,30,Man City,Premier League,Sevilla FC,LaLiga,2017-2018,12000000.0,7000000
Ryad Boudebouz,Attacking Midfield,27,Montpellier,Ligue 1,Real Betis,LaLiga,2017-2018,10000000.0,7000000
Diego Llorente,Centre-Back,23,Real Madrid,LaLiga,Real Sociedad,LaLiga,2017-2018,7500000.0,7000000
Clinton N'Jie,Centre-Forward,23,Spurs,Premier League,Marseille,Ligue 1,2017-2018,7000000.0,7000000
Víctor Camarasa,Central Midfield,23,Levante UD,LaLiga,Real Betis,LaLiga,2017-2018,5000000.0,7000000
Kylian Mbappé,Right Winger,19,Monaco,Ligue 1,Paris SG,Ligue 1,2018-2019,120000000.0,135000000
Cristiano Ronaldo,Centre-Forward,33,Real Madrid,LaLiga,Juventus,Serie A,2018-2019,100000000.0,117000000
Thomas Lemar,Left Winger,22,Monaco,Ligue 1,Atlético Madrid,LaLiga,2018-2019,65000000.0,70000000
Riyad Mahrez,Right Winger,27,Leicester,Premier League,Man City,Premier League,2018-2019,50000000.0,67800000
Alisson,Goalkeeper,25,AS Roma,Serie A,Liverpool,Premier League,2018-2019,60000000.0,62500000
Naby Keïta,Central Midfield,23,RB Leipzig,1.Bundesliga,Liverpool,Premier League,2018-2019,65000000.0,60000000
Jorginho,Defensive Midfield,26,SSC Napoli,Serie A,Chelsea,Premier League,2018-2019,50000000.0,57000000
Fabinho,Defensive Midfield,24,Monaco,Ligue 1,Liverpool,Premier League,2018-2019,45000000.0,45000000
Vinícius Júnior,Left Winger,18,Flamengo,Série A,Real Madrid,LaLiga,2018-2019,35000000.0,45000000
Malcom,Right Winger,21,G. Bordeaux,Ligue 1,FC Barcelona,LaLiga,2018-2019,45000000.0,41000000
João Cancelo,Right-Back,24,Valencia CF,LaLiga,Juventus,Serie A,2018-2019,35000000.0,40400000
Douglas Costa,Right Winger,27,Bayern Munich ,1.Bundesliga,Juventus,Serie A,2018-2019,55000000.0,40000000
Richarlison,Left Winger,21,Watford,Premier League,Everton,Premier League,2018-2019,25000000.0,39200000
Radja Nainggolan,Central Midfield,30,AS Roma,Serie A,Inter,Serie A,2018-2019,45000000.0,38000000
Felipe Anderson,Right Winger,25,Lazio,Serie A,West Ham,Premier League,2018-2019,30000000.0,38000000
Clément Lenglet,Centre-Back,23,Sevilla FC,LaLiga,FC Barcelona,LaLiga,2018-2019,25000000.0,35900000
Arthur,Central Midfield,21,Grêmio,Série A,FC Barcelona,LaLiga,2018-2019,30000000.0,31000000
Jean Michaël Seri,Central Midfield,27,OGC Nice,Ligue 1,Fulham,Premier League,2018-2019,30000000.0,30000000
Lucas Torreira,Defensive Midfield,22,Sampdoria,Serie A,Arsenal,Premier League,2018-2019,30000000.0,30000000
Álvaro Odriozola,Right-Back,22,Real Sociedad,LaLiga,Real Madrid,LaLiga,2018-2019,25000000.0,30000000
Fabián Ruiz,Central Midfield,22,Real Betis,LaLiga,SSC Napoli,Serie A,2018-2019,20000000.0,30000000
Abdou Diallo,Centre-Back,22,1.FSV Mainz 05,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2018-2019,12000000.0,28000000
Geoffrey Kondogbia,Central Midfield,25,Inter,Serie A,Valencia CF,LaLiga,2018-2019,30000000.0,25000000
Simone Verdi,Right Winger,25,Bologna,Serie A,SSC Napoli,Serie A,2018-2019,25000000.0,25000000
Issa Diop,Centre-Back,21,Toulouse,Ligue 1,West Ham,Premier League,2018-2019,22000000.0,25000000
Bernd Leno,Goalkeeper,26,Bay. Leverkusen,1.Bundesliga,Arsenal,Premier League,2018-2019,20000000.0,25000000
Jannik Vestergaard,Centre-Back,25,Bor. M'gladbach,1.Bundesliga,Southampton,Premier League,2018-2019,14000000.0,25000000
Javier Pastore,Attacking Midfield,29,Paris SG,Ligue 1,AS Roma,Serie A,2018-2019,15000000.0,24700000
Yuri Berchiche,Left-Back,28,Paris SG,Ligue 1,Athletic Bilbao,LaLiga,2018-2019,17000000.0,24000000
Alassane Pléa,Centre-Forward,25,OGC Nice,Ligue 1,Bor. M'gladbach,1.Bundesliga,2018-2019,18000000.0,23000000
Alex Meret,Goalkeeper,21,Udinese Calcio,Serie A,SSC Napoli,Serie A,2018-2019,12000000.0,22000000
Lucas Digne,Left-Back,25,FC Barcelona,LaLiga,Everton,Premier League,2018-2019,15000000.0,20200000
Aleksandar Mitrovic,Centre-Forward,23,Newcastle,Premier League,Fulham,Premier League,2018-2019,15000000.0,20200000
Rodri,Defensive Midfield,22,Villarreal CF,LaLiga,Atlético Madrid,LaLiga,2018-2019,25000000.0,20000000
Andriy Yarmolenko,Right Winger,28,Bor. Dortmund,1.Bundesliga,West Ham,Premier League,2018-2019,23000000.0,20000000
Gerard Moreno,Centre-Forward,26,Espanyol,LaLiga,Villarreal CF,LaLiga,2018-2019,20000000.0,20000000
Nikola Kalinic,Centre-Forward,30,Fiorentina,Serie A,AC Milan,Serie A,2018-2019,14000000.0,20000000
Thomas Delaney,Central Midfield,26,Werder Bremen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2018-2019,12000000.0,20000000
Rolando Mandragora,Central Midfield,21,Juventus,Serie A,Udinese Calcio,Serie A,2018-2019,10000000.0,20000000
Terence Kongolo,Centre-Back,24,Monaco,Ligue 1,Huddersfield,Premier League,2018-2019,10000000.0,20000000
Willem Geubbels,Left Winger,16,Olympique Lyon,Ligue 1,Monaco,Ligue 1,2018-2019,6000000.0,20000000
Paulinho,Left Winger,18,Vasco da Gama,Série A,Bay. Leverkusen,1.Bundesliga,2018-2019,25000000.0,18500000
